["SD","BDORTHO","EPSG","GEOVIEW","MAPINFO","PROJ4","TA","TOPAERO","WKT"]
["3857",null,null,null,null,"+init=other.extra:900913",null,null,null]
["53004",null,null,null,null,"+init=esri.extra:53004",null,null,null]
["LOCAL",null,null,"TERRAIN",null,null,null,null,null]
["GEOGRAPH_G96",null,null,"GEOGRAPH_G96",null,null,null,null,null]
["LATLONG",null,null,null,null,"+proj=latlong +ellps=WGS84 +no_defs",null,null,"GEOGCS[\"WGS 84\",DATUM[\"unknown\",SPHEROID[\"WGS84\",6378137,298.257223563]],PRIMEM[\"Greenwich\",0],UNIT[\"degree\",0.0174532925199433]]"]
["AMANU49",null,null,null,null,null,null,null,null]
["AMANU63",null,null,null,null,null,null,null,null]
["AMST63",null,null,null,null,"+init=IGNF:AMST63",null,null,null]
["ANAA47",null,null,null,null,null,null,null,null]
["APAT48",null,null,null,null,null,null,null,null]
["APAT49",null,null,null,null,null,null,null,null]
["APAT86",null,null,null,null,"+init=IGNF:APAT86",null,null,null]
["ATI",null,null,null,null,"+init=IGNF:ATI",null,null,null]
["BASSAS",null,null,null,null,null,null,null,null]
["BIEN55",null,null,null,null,null,null,null,null]
["CAD97",null,null,null,null,"+init=IGNF:CAD97",null,null,null]
["CADA80",null,null,null,null,null,null,null,null]
["CASS1733",null,null,null,null,null,null,null,null]
["CIOBIH",null,null,null,null,"+init=IGNF:CIOBIH",null,null,null]
["CLIP67",null,null,null,null,null,null,null,null]
["CROZ63",null,null,null,null,"+init=IGNF:CROZ63",null,null,null]
["CSG67",null,null,null,null,"+init=IGNF:CSG67",null,null,null]
["ED50",null,null,null,null,"+init=IGNF:ED50",null,null,null]
["EFATE57",null,null,null,null,"+init=IGNF:EFATE57",null,null,null]
["ETRS89",null,null,null,null,"+init=IGNF:ETRS89",null,null,null]
["EUROPA54",null,null,null,null,null,null,null,null]
["FAKA50",null,null,null,null,null,null,null,null]
["FANGA50",null,null,null,null,null,null,null,null]
["FANGA64",null,null,null,null,null,null,null,null]
["FANGA651",null,null,null,null,null,null,null,null]
["FANGA652",null,null,null,null,null,null,null,null]
["FANGA66",null,null,null,null,null,null,null,null]
["FANGA84",null,null,null,null,"+init=IGNF:FANGA84",null,null,null]
["GLOR77CAR",null,null,null,null,null,null,null,null]
["GUAD48",null,null,null,null,"+init=IGNF:GUAD48",null,null,null]
["GUADFM49",null,null,null,null,"+init=IGNF:GUADFM49",null,null,null]
["HAO49",null,null,null,null,null,null,null,null]
["HAO58",null,null,null,null,null,null,null,null]
["HAO67",null,null,null,null,null,null,null,null]
["HARA49",null,null,null,null,null,null,null,null]
["HIKU50",null,null,null,null,null,null,null,null]
["HIVA60",null,null,null,null,null,null,null,null]
["HIVA67",null,null,null,null,null,null,null,null]
["IGN63",null,null,null,null,"+init=IGNF:IGN63",null,null,null]
["IGN72",null,null,null,null,"+init=IGNF:IGN72",null,null,null]
["JULES55",null,null,null,null,null,null,null,null]
["KAUE70",null,null,null,null,"+init=IGNF:KAUE70",null,null,null]
["KERG62CAR",null,null,null,null,"+init=IGNF:KERG62CAR",null,null,null]
["LIFOU56",null,null,null,null,"+init=IGNF:LIFOU56",null,null,null]
["LUREF",null,null,null,null,"+init=IGNF:LUREF",null,null,null]
["MAKE50",null,null,null,null,null,null,null,null]
["MANGA51",null,null,null,null,null,null,null,null]
["MARE53",null,null,null,null,"+init=IGNF:MARE53",null,null,null]
["MARQUI72",null,null,null,null,"+init=IGNF:MARQUI72",null,null,null]
["MART38",null,null,null,null,"+init=IGNF:MART38",null,null,null]
["MAUPITI",null,null,null,null,null,null,null,null]
["MAYO50",null,null,null,null,"+init=IGNF:MAYO50",null,null,null]
["MHEFO55F",null,null,null,null,"+init=IGNF:MHEFO55F",null,null,null]
["MHEFO55M",null,null,null,null,null,null,null,null]
["MHPF67",null,null,null,null,"+init=IGNF:MHPF67",null,null,null]
["MOOREA87",null,null,null,null,"+init=IGNF:MOOREA87",null,null,null]
["MOP90",null,null,null,null,"+init=IGNF:MOP90",null,null,null]
["MURU51",null,null,null,null,null,null,null,null]
["MURU59",null,null,null,null,null,null,null,null]
["MURU62",null,null,null,null,null,null,null,null]
["MURU78",null,null,null,null,null,null,null,null]
["NC51",null,null,null,null,null,null,null,null]
["NOVA53",null,null,null,null,null,null,null,null]
["NTF",null,null,null,null,"+init=IGNF:NTF",null,null,null]
["NUKU72",null,null,null,null,"+init=IGNF:NUKU72",null,null,null]
["NUKU94",null,null,null,null,"+init=IGNF:NUKU94",null,null,null]
["OUVEA72CAR",null,null,null,null,"+init=IGNF:OUVEA72CAR",null,null,null]
["PETRELS72",null,null,null,null,"+init=IGNF:PETRELS72",null,null,null]
["RAIA53",null,null,null,null,"+init=IGNF:RAIA53",null,null,null]
["RAIV54",null,null,null,null,null,null,null,null]
["RAIV66",null,null,null,null,null,null,null,null]
["RANGI47",null,null,null,null,null,null,null,null]
["RANGI59",null,null,null,null,null,null,null,null]
["RANGI68",null,null,null,null,null,null,null,null]
["RAPA55",null,null,null,null,null,null,null,null]
["RAPA80",null,null,null,null,null,null,null,null]
["REUN47",null,null,null,null,"+init=IGNF:REUN47",null,null,null]
["REUN49",null,null,null,null,null,null,null,null]
["REUN92",null,null,null,null,null,null,null,null]
["RGF93",null,null,null,null,"+init=IGNF:RGF93",null,null,null]
["RGFG95",null,null,null,null,"+init=IGNF:RGFG95",null,null,null]
["RGM04",null,null,null,null,"+init=IGNF:RGM04",null,null,null]
["RGNC",null,null,null,null,"+init=IGNF:RGNC",null,null,null]
["RGPF",null,null,null,null,"+init=IGNF:RGPF",null,null,null]
["RGR92",null,null,null,null,"+init=IGNF:RGR92",null,null,null]
["RGSPM06",null,null,null,null,"+init=IGNF:RGSPM06",null,null,null]
["RGTAAF07",null,null,null,null,"+init=IGNF:RGTAAF07",null,null,null]
["RRAF91",null,null,null,null,"+init=IGNF:RRAF91",null,null,null]
["SAT84",null,null,null,null,"+init=IGNF:SAT84",null,null,null]
["SHOM84",null,null,null,null,"+init=IGNF:SHOM84",null,null,null]
["STPL69",null,null,null,null,"+init=IGNF:STPL69",null,null,null]
["STPM50",null,null,null,null,"+init=IGNF:STPM50",null,null,null]
["SYSLNCAR",null,null,null,null,null,null,null,null]
["TAHAA",null,null,null,null,"+init=IGNF:TAHAA",null,null,null]
["TAHI51",null,null,null,null,"+init=IGNF:TAHI51",null,null,null]
["TAHI79",null,null,null,null,"+init=IGNF:TAHI79",null,null,null]
